CAMS v1.3,Date,Time (UT),Max Mv (mag),F-skew,Sol long,q,1/a,a,e,i,w,Node
6184,4/11/2011,10:36:20.82,1.6,0.38,21.04976,0.88770,0.051,19.649,0.95482,80.00,219.97,21.049
6203,4/22/2011,5:46:49.96,0.9,0.45,31.61625,0.93390,0.174,5.760,0.83786,68.40,212.35,31.611
6204,4/22/2011,5:49:41.59,-2.1,0.66,31.61819,0.90340,0.118,8.481,0.89348,79.03,218.22,31.612
6206,4/22/2011,6:09:27.49,0.9,0.69,31.63158,0.92380,0.018,56.374,0.98361,79.94,213.18,31.626
6208,4/22/2011,6:33:44.04,1.4,0.40,31.64803,0.88450,0.015,65.025,0.98640,75.95,220.68,31.643
6210,4/22/2011,6:53:34.64,1.2,0.61,31.66147,0.91110,0.064,15.612,0.94164,78.20,216.18,31.656
6212,4/22/2011,7:10:32.49,2.7,0.55,31.67296,0.90590,0.129,7.740,0.88296,77.63,217.85,31.668
6214,4/22/2011,7:22:42.29,0.5,0.52,31.68120,0.94560,0.105,9.501,0.90047,79.02,208.95,31.676
6216,4/22/2011,7:30:52.33,1.6,0.80,31.68674,0.91700,0.005,187.149,0.99510,74.63,214.48,31.682
6220,4/22/2011,7:53:21.29,1.6,0.39,31.70197,0.92150,-0.027,999.000,1.02488,78.34,213.31,31.697
6229,4/22/2011,8:35:03.16,-0.1,0.48,31.73021,0.89630,-0.013,999.000,1.01165,79.37,218.30,31.726
6232,4/22/2011,8:44:03.24,2.8,0.51,31.73631,0.91980,0.032,31.107,0.97043,78.90,214.13,31.732
6237,4/22/2011,8:56:59.19,1.9,0.46,31.74507,0.92460,-0.054,999.000,1.04993,79.85,212.47,31.741
6238,4/22/2011,8:57:13.80,2.1,0.84,31.74524,0.91990,0.046,21.867,0.95793,78.27,214.24,31.741
6241,4/22/2011,9:11:54.57,1.2,0.56,31.75518,0.91830,0.021,48.214,0.98095,78.95,214.36,31.751
6242,4/22/2011,9:13:47.33,2.1,0.82,31.75645,0.90760,0.043,23.219,0.96091,76.90,216.67,31.752
6243,4/22/2011,9:14:32.97,1.8,0.61,31.75697,0.96450,0.126,7.941,0.87854,82.43,204.00,31.753
6245,4/22/2011,9:21:36.58,1.6,0.64,31.76175,0.95080,0.068,14.743,0.93551,80.55,207.36,31.758
6247,4/22/2011,9:29:42.33,2.1,0.45,31.76724,0.93370,0.021,46.606,0.97997,81.94,211.08,31.763
6250,4/22/2011,9:34:20.07,1.8,0.77,31.77037,0.90220,-0.022,999.000,1.01985,76.27,217.14,31.766
6251,4/22/2011,9:37:49.77,3.3,0.58,31.77274,0.93230,0.025,39.717,0.97653,80.22,211.43,31.769
6255,4/22/2011,9:43:41.30,-0.6,0.54,31.77671,0.89410,0.123,8.141,0.89017,80.98,220.06,31.773
6260,4/22/2011,9:58:11.30,-1.1,0.82,31.78653,0.92680,0.007,134.125,0.99309,78.88,212.46,31.783
6261,4/22/2011,10:02:18.32,1.0,0.75,31.78932,0.92600,0.067,14.944,0.93804,78.73,213.13,31.786
6268,4/22/2011,10:28:44.33,1.9,0.36,31.80723,0.88290,-0.029,999.000,1.02560,80.84,220.55,31.803
6270,4/22/2011,10:34:07.13,2.2,0.50,31.81087,0.92080,0.051,19.691,0.95324,78.59,214.08,31.807
6273,4/22/2011,10:46:03.50,1.9,0.33,31.81896,0.91930,0.081,12.270,0.92508,81.24,214.68,31.815
6274,4/22/2011,10:46:34.25,-0.9,0.74,31.81931,0.91060,-0.001,999.000,1.00091,78.34,215.70,31.816
6277,4/22/2011,10:59:13.84,1.1,0.36,31.82788,0.91710,0.057,17.584,0.94784,79.30,214.90,31.824
6278,4/22/2011,11:00:33.94,-0.9,0.73,31.82879,0.90520,0.038,26.278,0.96555,79.91,217.10,31.825
6284,4/22/2011,11:14:50.79,3.0,0.46,31.83846,0.91450,0.247,4.055,0.77448,74.76,217.48,31.835
6285,4/22/2011,11:15:30.82,2.4,0.48,31.83891,0.91360,0.068,14.621,0.93751,80.24,215.73,31.836
6287,4/22/2011,11:22:33.19,2.2,0.52,31.84368,0.93100,-0.041,999.000,1.03817,81.77,211.21,31.840
6288,4/22/2011,11:25:40.11,2.0,0.55,31.84579,0.92370,0.104,9.581,0.90359,76.24,213.97,31.843
6292,4/22/2011,11:37:17.21,0.6,0.59,31.85366,0.92690,0.148,6.742,0.86252,78.87,213.69,31.850
6293,4/22/2011,11:41:34.11,-0.5,0.73,31.85656,0.93920,0.043,23.472,0.95999,80.13,209.98,31.853
6294,4/22/2011,11:42:17.08,1.2,0.60,31.85705,0.92470,0.028,35.624,0.97404,79.11,213.08,31.854
6295,4/22/2011,11:45:03.98,1.5,0.29,31.85893,0.91560,0.048,20.670,0.95570,79.19,215.14,31.856
6297,4/22/2011,11:46:10.77,1.3,0.30,31.85968,0.91790,0.029,34.465,0.97337,79.28,214.51,31.856
6301,4/22/2011,11:55:37.74,0.5,0.49,31.86608,0.90770,-0.207,999.000,1.18789,79.29,214.76,31.863
6303,4/22/2011,11:56:41.19,1.4,0.56,31.86680,0.95030,0.065,15.369,0.93817,79.77,207.45,31.864
6306,4/22/2011,12:12:05.19,1.7,0.58,31.87723,0.87590,0.109,9.208,0.90488,76.82,223.17,31.874
6311,4/22/2011,12:26:53.76,0.8,0.54,31.88726,0.93680,0.027,37.686,0.97514,81.57,210.41,31.884
6313,4/22/2011,12:35:40.91,1.4,0.44,31.89321,0.92700,-0.112,999.000,1.10382,79.78,211.58,31.890
6314,4/22/2011,12:36:53.85,2.7,0.41,31.89404,0.89220,0.071,14.032,0.93642,76.29,219.86,31.891
6370,4/26/2011,10:21:43.09,1.2,0.63,35.70012,0.94300,0.078,12.784,0.92624,67.98,209.62,35.697
6479,4/27/2011,9:28:08.94,1.2,0.51,36.63705,0.91520,0.112,8.919,0.89739,74.13,216.06,36.633
6490,4/27/2011,10:00:12.38,2.7,0.42,36.65871,0.91340,0.122,8.184,0.88839,68.11,216.55,36.655
6580,4/28/2011,7:20:11.73,1.9,0.46,37.52328,0.95690,0.192,5.200,0.81598,84.86,207.14,37.518
6802,4/30/2011,7:56:18.89,2.3,0.25,39.49149,0.93570,-0.044,999.000,1.04117,81.98,210.59,39.487
7006,5/1/2011,11:58:48.45,1.7,0.48,40.62615,0.92740,0.188,5.313,0.82545,85.89,214.51,40.624
7346,5/4/2011,11:12:54.48,-0.4,0.47,43.50556,0.93310,0.007,147.427,0.99367,82.24,211.75,43.504
7504,5/5/2011,10:52:39.04,3.0,0.33,44.46110,0.91590,0.060,16.601,0.94483,79.60,215.81,44.460
57001,4/17/2012,7:35:24.22,1.4,0.14,27.53279,0.09833,0.144,6.933,0.98580,48.47,144.80,207.521
57092,4/18/2012,8:12:34.13,2.1,0.54,28.53554,0.91503,0.096,10.371,0.91180,78.72,215.54,28.527
57130,4/18/2012,11:07:39.37,2.2,0.62,28.65436,0.90745,0.008,129.509,0.99300,80.19,216.24,28.647
57138,4/18/2012,11:43:44.36,-0.2,0.48,28.67884,0.92855,0.046,21.944,0.95770,66.41,212.24,28.673
57180,4/19/2012,6:44:18.94,0.2,0.68,29.45266,0.95404,0.072,13.870,0.93120,77.21,206.39,29.444
57190,4/19/2012,7:23:08.87,-0.3,0.55,29.47900,0.95664,0.074,13.477,0.92900,75.28,205.71,29.470
57199,4/19/2012,7:35:29.35,2.1,0.64,29.48737,0.96710,0.057,17.486,0.94470,78.24,202.59,29.479
57217,4/19/2012,8:41:42.75,2.1,0.63,29.53228,0.94262,0.211,4.740,0.80110,80.73,210.52,29.524
57219,4/19/2012,8:44:24.00,0.0,0.81,29.53410,0.92774,0.120,8.302,0.88820,78.89,213.12,29.526
57239,4/19/2012,9:40:43.50,0.9,0.31,29.57231,0.90823,0.150,6.642,0.86330,74.78,217.53,29.565
57242,4/19/2012,10:05:15.01,1.2,0.84,29.58894,0.94199,-0.052,999.000,1.04850,82.57,208.56,29.581
57264,4/19/2012,11:36:43.45,0.5,0.63,29.65098,0.88302,0.182,5.500,0.83940,77.90,222.70,29.644
57295,4/20/2012,5:57:10.89,0.9,0.45,30.39718,0.92249,-0.151,999.000,1.13900,79.11,212.20,30.388
57297,4/20/2012,6:09:20.58,0.7,0.48,30.40542,0.96346,-0.101,999.000,1.09710,79.34,202.87,30.396
57310,4/20/2012,7:08:05.47,0.3,0.66,30.44525,0.91200,0.032,31.465,0.97100,77.52,215.66,30.437
57311,4/20/2012,7:10:19.44,2.8,0.48,30.44676,0.91673,-0.036,999.000,1.03290,78.01,214.16,30.438
57327,4/20/2012,7:55:52.98,2.4,0.28,30.47765,0.91443,0.179,5.579,0.83610,84.55,216.63,30.469
57337,4/20/2012,8:27:38.63,1.5,0.30,30.49918,0.92823,-0.032,999.000,1.02980,79.17,211.81,30.491
57339,4/20/2012,8:31:57.04,2.6,0.66,30.50210,0.92210,0.047,21.125,0.95640,76.44,213.74,30.494
57345,4/20/2012,8:53:12.80,2.1,0.41,30.51651,0.93899,-0.095,999.000,1.08930,81.69,209.03,30.509
57353,4/20/2012,9:08:07.44,2.8,0.49,30.52662,0.90514,0.066,15.054,0.93990,78.00,217.32,30.519
57360,4/20/2012,9:37:26.64,3.1,0.46,30.54650,0.94090,0.110,9.086,0.89640,78.90,210.07,30.539
57369,4/20/2012,9:59:10.86,3.5,0.67,30.56123,0.90083,-0.063,999.000,1.05640,78.75,217.01,30.554
57370,4/20/2012,10:06:15.20,1.5,0.46,30.56602,0.94157,0.062,16.262,0.94210,83.19,209.51,30.559
57371,4/20/2012,10:07:25.60,0.2,0.88,30.56682,0.90184,0.109,9.136,0.90130,78.48,218.39,30.560
57374,4/20/2012,10:11:20.25,2.4,0.67,30.56947,0.89867,0.159,6.301,0.85740,80.53,219.54,30.562
57375,4/20/2012,10:11:33.29,3.4,0.23,30.56962,0.89370,-0.059,999.000,1.05260,79.29,218.34,30.563
57399,4/20/2012,10:58:34.66,2.3,0.47,30.60149,0.94295,-0.130,999.000,1.12220,78.86,207.93,30.595
57413,4/20/2012,11:15:19.76,0.8,0.70,30.61285,0.91278,0.052,19.318,0.95270,77.43,215.68,30.607
57422,4/20/2012,11:23:16.09,2.8,0.38,30.61823,0.92666,0.165,6.049,0.84680,75.01,213.87,30.612
57431,4/20/2012,11:38:32.12,0.3,0.68,30.62858,0.92789,-0.041,999.000,1.03820,81.72,211.82,30.622
57439,4/20/2012,11:50:32.38,2.0,0.42,30.63672,0.90682,0.147,6.816,0.86700,76.30,217.82,30.631
57450,4/20/2012,12:09:06.71,2.8,0.53,30.64931,0.93114,0.098,10.228,0.90900,76.21,212.22,30.643
57468,4/20/2012,12:24:33.42,3.0,0.53,30.65977,0.92626,0.047,21.472,0.95690,76.50,212.85,30.654
57472,4/20/2012,12:30:25.18,2.3,0.58,30.66375,0.93759,-0.078,999.000,1.07290,79.53,209.46,30.658
57491,4/21/2012,6:19:35.35,2.1,0.32,31.38831,0.90978,0.181,5.513,0.83500,79.72,217.66,31.380
57495,4/21/2012,6:36:17.46,0.2,0.54,31.39964,0.89001,-0.058,999.000,1.05150,77.74,219.04,31.391
57502,4/21/2012,7:01:51.63,-1.1,0.69,31.41696,0.91547,0.012,86.656,0.98940,80.34,214.84,31.409
57506,4/21/2012,7:05:30.53,1.8,0.43,31.41943,0.92307,0.043,23.494,0.96070,77.01,213.54,31.411
57508,4/21/2012,7:12:35.80,2.1,0.51,31.42424,0.91495,0.051,19.703,0.95360,78.12,215.28,31.416
57511,4/21/2012,7:17:25.85,0.8,0.62,31.42751,0.91985,0.016,60.556,0.98480,75.46,213.99,31.420
57524,4/21/2012,8:04:56.07,2.2,0.55,31.45970,0.91991,0.102,9.845,0.90660,80.92,214.74,31.452
57525,4/21/2012,8:07:48.88,2.4,0.62,31.46165,0.93448,0.228,4.391,0.78720,75.95,212.81,31.454
57531,4/21/2012,8:21:44.03,0.6,0.68,31.47108,0.91915,0.010,97.849,0.99060,79.34,214.09,31.464
57533,4/21/2012,8:24:46.53,1.0,0.53,31.47314,0.91646,0.075,13.305,0.93110,78.50,215.20,31.466
57550,4/21/2012,8:52:54.93,1.3,0.63,31.49220,0.93546,0.048,20.831,0.95510,78.51,210.89,31.485
57553,4/21/2012,8:59:06.02,1.7,0.65,31.49640,0.93249,0.025,40.267,0.97680,78.46,211.37,31.489
57561,4/21/2012,9:21:09.34,1.2,0.54,31.51134,0.91269,-0.008,999.000,1.00700,80.41,215.24,31.504
57563,4/21/2012,9:24:12.18,1.6,0.51,31.51340,0.89329,-0.162,999.000,1.14470,79.60,217.67,31.506
57564,4/21/2012,9:25:46.85,1.7,0.75,31.51447,0.90806,0.073,13.662,0.93350,78.03,216.87,31.508
57589,4/21/2012,10:10:19.52,2.7,0.33,31.54465,0.92372,-0.027,999.000,1.02540,78.47,212.85,31.538
57591,4/21/2012,10:13:56.62,2.4,0.78,31.54710,0.91334,0.034,29.048,0.96860,76.61,215.47,31.541
57593,4/21/2012,10:15:40.84,2.0,0.36,31.54828,0.93649,-0.138,999.000,1.12920,78.58,209.39,31.542
57594,4/21/2012,10:18:50.59,1.8,0.65,31.55042,0.90132,0.090,11.120,0.91890,75.07,218.34,31.544
57603,4/21/2012,10:37:18.53,2.5,0.58,31.56293,0.89883,0.028,35.351,0.97460,78.98,218.21,31.557
57612,4/21/2012,11:08:25.15,-0.4,0.83,31.58401,0.91343,-0.048,999.000,1.04390,79.64,214.77,31.578
57620,4/21/2012,11:18:07.70,3.4,0.36,31.59059,0.92281,0.047,21.321,0.95670,79.44,213.64,31.584
57622,4/21/2012,11:18:59.35,-0.4,0.73,31.59117,0.91498,0.039,25.587,0.96420,79.84,215.18,31.585
57623,4/21/2012,11:19:13.35,0.3,0.72,31.59133,0.91191,-0.044,999.000,1.04020,79.35,215.10,31.585
57624,4/21/2012,11:21:14.83,0.0,0.94,31.59270,0.92258,0.014,69.819,0.98680,79.27,213.42,31.587
57635,4/21/2012,11:34:30.69,2.4,0.58,31.60169,0.91409,0.226,4.431,0.79370,77.01,217.31,31.596
57639,4/21/2012,11:39:57.94,2.0,0.53,31.60538,0.92148,0.044,22.925,0.95980,79.93,213.89,31.599
57641,4/21/2012,11:40:11.42,1.9,0.42,31.60553,0.92465,0.031,32.014,0.97110,81.38,213.12,31.600
57642,4/21/2012,11:40:22.41,3.1,0.77,31.60567,0.94635,0.092,10.889,0.91310,79.62,208.66,31.600
57645,4/21/2012,11:45:24.67,1.9,0.59,31.60907,0.91241,-0.004,999.000,1.00370,78.13,215.32,31.603
57646,4/21/2012,11:45:45.21,2.2,0.62,31.60930,0.92795,0.041,24.623,0.96230,77.40,212.49,31.604
57651,4/21/2012,11:53:55.81,2.7,0.40,31.61484,0.91509,0.175,5.720,0.84000,76.23,216.50,31.609
57652,4/21/2012,11:54:52.04,2.3,0.41,31.61548,0.95604,-0.037,999.000,1.03540,79.14,205.31,31.610
57657,4/21/2012,11:59:40.76,2.3,0.60,31.61874,0.92326,-0.234,999.000,1.21620,78.74,211.61,31.613
57658,4/21/2012,12:01:21.57,0.8,0.50,31.61987,0.92333,-0.074,999.000,1.06840,81.14,212.60,31.614
57662,4/21/2012,12:05:18.21,1.6,0.56,31.62255,0.94506,0.123,8.163,0.88420,75.79,209.23,31.617
57668,4/21/2012,12:12:40.77,3.3,0.71,31.62754,0.91495,0.056,17.789,0.94860,78.04,215.34,31.622
57672,4/21/2012,12:14:18.68,0.5,0.72,31.62865,0.91621,0.093,10.707,0.91440,80.96,215.43,31.623
57679,4/21/2012,12:23:15.51,1.3,0.61,31.63471,0.92900,0.074,13.465,0.93100,75.89,212.55,31.629
57685,4/21/2012,12:28:24.26,0.7,0.57,31.63820,0.95653,0.087,11.436,0.91640,79.40,205.98,31.632
57687,4/21/2012,12:29:30.18,1.0,0.64,31.63894,0.93372,0.063,15.855,0.94110,80.28,211.41,31.633
57688,4/21/2012,12:30:08.26,-4.0,0.81,31.63937,0.93385,0.036,27.390,0.96590,81.00,211.16,31.634
57693,4/22/2012,4:39:47.87,0.6,0.30,32.29616,0.92480,-0.103,999.000,1.09550,80.86,212.13,32.287
57695,4/22/2012,5:03:21.43,2.4,0.32,32.31212,0.92242,0.005,194.003,0.99520,81.11,213.42,32.303
57696,4/22/2012,5:13:22.60,2.7,0.52,32.31890,0.92211,0.085,11.798,0.92180,79.34,214.16,32.310
57698,4/22/2012,5:19:54.25,0.1,0.61,32.32332,0.92303,0.051,19.517,0.95270,79.19,213.67,32.315
57702,4/22/2012,5:36:30.74,-1.2,0.73,32.33457,0.92129,0.013,78.019,0.98820,79.30,213.71,32.326
57703,4/22/2012,5:37:28.54,3.5,0.98,32.33522,0.91474,0.123,8.105,0.88710,79.78,216.07,32.327
57707,4/22/2012,5:46:30.58,2.8,0.55,32.34134,0.93271,0.169,5.915,0.84230,80.98,212.65,32.333
57709,4/22/2012,5:55:04.15,3.4,0.73,32.34714,0.91482,0.009,107.853,0.99150,79.90,215.00,32.339
57710,4/22/2012,5:57:45.34,3.3,0.53,32.34896,0.92434,0.076,13.103,0.92950,80.95,213.62,32.341
57712,4/22/2012,6:07:34.87,3.2,0.34,32.35561,0.93171,0.181,5.523,0.83130,77.79,213.00,32.347
57713,4/22/2012,6:10:50.56,2.5,0.49,32.35782,0.93743,0.114,8.763,0.89300,79.88,211.04,32.350
57724,4/22/2012,6:41:54.92,2.8,0.69,32.37886,0.93058,0.029,34.571,0.97310,81.63,211.87,32.371
57725,4/22/2012,6:44:21.79,1.4,0.59,32.38052,0.92204,0.062,16.223,0.94320,79.81,213.97,32.373
57731,4/22/2012,7:01:20.97,3.8,0.73,32.39202,0.90685,-0.218,999.000,1.19720,79.88,214.90,32.384
57735,4/22/2012,7:11:17.85,2.9,0.57,32.39876,0.90737,0.043,23.357,0.96120,79.34,216.76,32.391
57736,4/22/2012,7:16:43.12,1.2,0.37,32.40243,0.92086,-0.029,999.000,1.02680,81.49,213.48,32.395
57737,4/22/2012,7:19:51.72,-0.5,0.36,32.40456,0.92848,0.036,27.436,0.96620,80.43,212.39,32.397
57738,4/22/2012,7:21:25.64,1.5,0.70,32.40562,0.92843,0.062,16.248,0.94290,79.89,212.61,32.398
57740,4/22/2012,7:22:55.74,-2.7,0.74,32.40664,0.91954,-0.032,999.000,1.02930,77.58,213.72,32.399
57741,4/22/2012,7:24:12.41,2.3,0.57,32.40750,0.96500,0.140,7.163,0.86530,80.95,204.01,32.400
57742,4/22/2012,7:28:35.42,2.9,0.63,32.41047,0.91807,0.135,7.379,0.87560,79.26,215.51,32.403
57743,4/22/2012,7:33:46.21,1.8,0.59,32.41397,0.91680,-0.051,999.000,1.04680,82.51,214.13,32.406
57747,4/22/2012,7:47:59.71,-1.1,0.64,32.42361,0.94215,0.049,20.204,0.95340,79.82,209.40,32.416
57749,4/22/2012,7:52:15.88,2.3,0.62,32.42650,0.92293,0.008,129.227,0.99290,80.19,213.34,32.419
57750,4/22/2012,7:55:04.48,2.7,0.59,32.42840,0.92899,-0.040,999.000,1.03700,80.45,211.70,32.421
57752,4/22/2012,7:58:30.48,0.0,0.85,32.43073,0.91748,0.043,23.238,0.96050,79.86,214.76,32.423
57754,4/22/2012,7:59:58.06,1.4,0.42,32.43172,0.92370,-0.035,999.000,1.03200,80.79,212.85,32.424
57755,4/22/2012,8:01:33.09,2.2,0.42,32.43279,0.95762,0.200,5.007,0.80870,82.83,206.64,32.425
57756,4/22/2012,8:02:18.86,3.8,0.44,32.43330,0.89327,-0.109,999.000,1.09760,79.92,218.10,32.426
57757,4/22/2012,8:04:36.06,2.8,0.48,32.43486,0.91231,0.031,31.933,0.97140,79.84,215.69,32.428
57759,4/22/2012,8:05:09.35,-1.4,0.70,32.43523,0.92172,0.083,12.035,0.92340,80.71,214.24,32.428
57760,4/22/2012,8:06:57.61,1.3,0.60,32.43645,0.92878,0.072,13.803,0.93270,79.39,212.63,32.429
57763,4/22/2012,8:14:15.62,3.3,0.38,32.44139,0.91768,0.123,8.129,0.88710,78.75,215.46,32.434
57764,4/22/2012,8:14:24.54,0.0,0.77,32.44149,0.91656,0.221,4.528,0.79760,78.97,216.78,32.434
57765,4/22/2012,8:18:08.21,0.2,0.72,32.44402,0.92552,0.030,33.394,0.97230,81.71,212.98,32.437
57766,4/22/2012,8:18:41.27,3.5,0.60,32.44439,0.92543,0.238,4.197,0.77950,78.62,215.06,32.437
57769,4/22/2012,8:20:18.76,0.6,0.68,32.44549,0.91453,0.078,12.865,0.92890,78.65,215.67,32.438
57770,4/22/2012,8:25:05.02,-1.4,0.92,32.44872,0.92209,0.023,43.039,0.97860,80.33,213.64,32.442
